id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share
1,Biking,23255.08,4364.0,585,114.49647390691116,150.0,80.0,707.0791268278159,827.5999755859375,672.7999877929688,241.80023193359372,232.6002197265625,5159.0,4,728.4000015258789,36.600006103515625,0.1653107668213164,0.0071085873203324
3,Biking,14747.77,2446.0,336,120.25573921028466,173.0,77.0,832.2349653230924,916.4000244140624,796.2000122070312,244.19989013671875,248.19989013671875,2443.0,4,827.1000061035156,13.100006103515623,0.0187097201872979,0.0012686474082046
7,Biking,27463.65,4020.0,308,108.4029935046597,150.0,77.0,594.3774639863276,1403.0,420.3999938964844,290.7997436523437,1233.19970703125,3368.0,8,549.0249977111816,5.200004577636719,0.0150684252510404,0.0005486679757075
8,Biking,94915.88,17112.0,2195,132.13703645995636,190.0,71.0,533.7673600333078,901.0,372.7999877929688,1458.1999816894531,1443.7999877929688,16132.0,11,526.6545479514382,66.87272782759233,0.0903640839118105,0.0009520438930957
13,Biking,38554.61,6840.0,1231,142.23702474351236,187.0,99.0,520.2503318671512,771.0,385.2000122070313,671.5999755859375,811.0,7228.0,7,572.6999991280692,26.17142595563616,0.038389362031437,0.0009957139245199
14,Biking,16994.7,1756.0,259,132.66018845700825,182.0,77.0,439.9724381697332,522.5999755859375,388.7999877929688,152.79995727539062,236.7999267578125,2537.0,4,438.1499977111816,11.099998474121094,0.0180251648317317,0.0010606344820286
15,Biking,46921.09,9948.0,1965,128.16231979751294,183.0,60.0,729.5342779582563,955.0,478.7999877929688,1445.8001403808594,1449.4001770019531,9463.0,11,727.8363564231179,78.09090354225852,0.0576094257375483,0.0012277938500053
17,Biking,15599.77,2833.0,216,106.6231884057971,128.0,71.0,1012.0922684325136,1562.800048828125,806.7999877929688,73.20037841796875,802.4004516601562,1613.0,4,1105.9000091552734,1.399993896484375,0.0286944407156576,0.0018394143449331
20,Biking,7237.16,1231.0,222,97.15324165029467,132.0,70.0,86.92927305347676,243.1999969482422,-25.799999237060547,75.3999981880188,337.3999981880188,750.0,4,129.49999904632568,0.0,0.0179968814133375,0.0024867325599181
21,Biking,32960.55,6950.0,1310,147.72899408284025,184.0,74.0,1007.697447378718,1443.4000244140625,531.5999755859375,975.0001831054688,971.6001586914062,6328.0,3,1013.8999633789062,302.5333251953125,0.01355193931211,0.0004111563463628
22,Biking,23993.11,4462.0,558,123.22280431432974,180.0,74.0,534.7007055806397,704.2000122070312,375.7999877929688,472.1999816894531,499.6000061035156,3572.0,6,528.7166697184244,36.30000305175781,0.0791844572934844,0.0033002998483099
28,Biking,57395.46,11272.0,1538,129.94753369095903,183.0,77.0,440.8348291684832,549.7999877929688,360.3999938964844,743.3996887207031,731.3996887207031,9673.0,15,441.0933329264323,17.933333333333334,0.1155959977073196,0.0020140268534709
31,Biking,16653.47,2228.0,242,122.5589164785553,153.0,95.0,39.36650116364251,212.0,-6.0,232.7999196201563,425.19991923868656,2363.0,7,31.11428633758,3.7428572518484935,0.0032653811293523,0.0001960781224184
32,Biking,6530.55,1629.0,362,169.84846368715085,179.0,112.0,735.8944126747174,982.7999877929688,475.7999877929688,518.2000732421875,11.40008544921875,1929.0,2,602.5999908447266,253.5,0.0057428870359804,0.0008793879590509
33,Biking,94398.92,13175.0,2352,139.80214072091923,180.0,72.0,427.88691088989947,760.7999877929688,275.0,1506.000030517578,1500.8000183105469,15956.0,17,416.4823536592371,36.45882281135111,0.0675932619087397,0.0007160385087958
34,Biking,163576.76,17795.0,3849,115.56931392931394,178.0,56.0,174.35570675207882,406.0,-3.5999999046325684,2845.2000320851803,2851.400032132864,24260.0,40,186.2525003671646,31.349999269843103,0.182476724108289,0.0011155418661446
35,Biking,34668.77,4299.0,719,134.5062625250501,174.0,76.0,359.13061109095634,426.0,327.6000061035156,487.4000244140625,417.2000122070313,5609.0,13,358.9153817983774,8.4923095703125,0.0815353971990996,0.0023518399181482
37,Biking,28665.32,4110.0,462,122.35893536121672,159.0,70.0,414.7385553396247,490.3999938964844,356.0,234.79998779296875,222.79998779296875,5415.0,4,418.9000015258789,28.350006103515625,0.0251595607708614,0.0008777003281617
38,Biking,27139.6,8263.0,1440,140.26679434295815,183.0,76.0,740.4310475709229,780.7999877929688,702.2000122070312,796.3998413085938,795.9998779296875,6891.0,18,745.3444468180338,9.37778049045139,0.0602881561944649,0.002221409165738
39,Biking,74001.05,9503.0,1841,132.24307986000636,169.0,73.0,526.0973167763319,896.7999877929688,361.3999938964844,1542.399932861328,1543.399932861328,12041.0,14,500.8642817905971,71.97142900739398,0.0770206461685302,0.0010408047746421
40,Biking,52559.34,6954.0,961,105.84013262217096,162.0,62.0,469.098803573681,633.5999755859375,383.6000061035156,1540.4002380371094,1539.0002746582031,9379.0,35,483.2942844935826,10.719999476841515,0.2597571391598252,0.0049421689686328
58,Biking,2035.29,250.0,109,174.47011952191235,182.0,121.0,-14.043824702560665,31.600000381469727,-60.20000076293945,93.60000038146973,2.0,383.0,2,-37.200000286102295,45.90000057220459,0.002078220215924,0.0010210929233298
60,Biking,61595.69,8227.0,1575,139.2229437229437,176.0,63.0,453.558696027017,784.5999755859375,315.3999938964844,1321.8000793457031,1311.4000854492188,10030.0,22,439.72727619517934,28.272728659889918,0.1804316896169864,0.0029292908256565
63,Biking,14607.38,2373.0,209,116.95342588446036,146.0,92.0,-40.718677380176345,8.0,-57.20000076293945,107.5999994277954,108.1999979019165,2561.0,3,-25.69999925295512,12.466666142145792,0.0310039939525773,0.0021224883553777
64,Biking,79112.9,10043.0,1807,135.23181357649443,171.0,80.0,52.78195958268913,187.0,-47.20000076293945,1190.6000238358974,1183.6000238358974,10545.0,15,87.95333379109701,16.9466672261556,0.0510559545283151,0.000645355618721
66,Biking,27372.01,4791.0,1031,127.35751620321972,178.0,66.0,807.7649835704364,1117.0,521.5999755859375,807.7998657226562,799.9998779296875,5632.0,6,819.2499949137369,98.16665649414062,0.0279325880591453,0.0010204799742198
67,Biking,72826.27,9995.0,1326,135.99596022374146,179.0,80.0,507.0893209122664,1064.199951171875,314.3999938964844,1266.7997436523438,1286.3997497558594,11931.0,13,451.33846459021936,66.30769465519832,0.1163019678916658,0.001596978231779
68,Biking,49183.71,9987.0,1784,134.4099673374776,165.0,66.0,914.7621954171428,1427.0,518.7999877929688,1580.8001708984375,1579.6001586914062,11319.0,8,867.4000053405762,120.77500915527344,0.0242915763936833,0.0004938947548626
76,Biking,88482.71,12256.0,2503,138.74723710649698,176.0,68.0,618.5910247245732,924.2000122070312,351.6000061035156,2298.8009338378906,2303.6009216308594,14317.0,20,589.5899978637696,56.21999969482422,0.1916471038437621,0.0021659271494257
77,Biking,70068.84,8799.0,980,140.7176567269312,178.0,82.0,378.0427565528743,447.6000061035156,321.6000061035156,549.1996459960938,518.7996215820312,12037.0,12,377.2333348592122,12.5,0.082465720060526,0.001176924294173
80,Biking,46900.42,7321.0,599,110.6284301212508,145.0,72.0,386.90640269912745,504.6000061035156,309.0,393.4004211425781,387.4004211425781,8353.0,7,399.34286063058033,26.05714198521205,0.0314899121938362,0.0006714206865063
83,Biking,21789.26,5592.0,1365,139.3904245709124,186.0,72.0,677.3038117750766,821.5999755859375,499.7999877929688,1162.3999938964844,1172.0,4953.0,10,690.5999984741211,51.3,0.037904509372215,0.0017395959923473
84,Biking,64088.34,10791.0,2368,143.11693394425353,172.0,63.0,819.7197023983811,1398.5999755859375,352.6000061035156,2362.2008361816406,2349.800842285156,13234.0,13,708.3384739802434,143.90769606370193,0.0972013861277119,0.0015166781684111
85,Biking,73623.61,10025.0,1889,143.43302949061663,180.0,80.0,497.8686677775514,884.2000122070312,336.20001220703125,1296.8001403808594,1294.8001403808594,12602.0,9,488.0000033908421,77.46666802300348,0.0503432602222767,0.0006837923353972
