id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share,number_of_intervalsPower,min_durationPower,max_durationPower,avg_durationPower,min_distancePower,max_distancePower,avg_distancePower,number_of_intervalsHeart,min_duration_intervalHeart,max_duration_intervalHeart,avg_duration_intervalHeart,min_distance_intervalHeart,max_distance_intervalHeart,avg_distance_intervalHeart,min_heartrate_intervalHeart,max_heartrate_intervalHeart,avg_heartrate_intervalHeart,caloriesNormalized
3,Running,3704.14,1226.0,237,130.04312449145647,149,63,546.2239221956208,594.0,500.3999938964844,97.19989013671876,86.59991455078125,,3,521.2999979654948,14.799997965494793,0.0099406054721952,0.0026836473438356,3,0.0,496.0,177.66666666666666,0.0,1311.4199829101562,480.5933259328206,3,132.0,504.0,261.3333333333333,414.550048828125,1335.5499420166016,746.2633107503256,132.46308724832215,139.94736842105263,137.10051492609523,0.09914893617021277
4,Running,5213.6,1493.0,378,183.64709806537687,190,139,595.520480654095,754.5999755859375,455.6000061035156,347.6001281738281,48.800140380859375,,2,570.3000030517578,149.39999389648438,0.0019725223288933,0.0003783417080123,9,0.0,338.0,107.77777777777776,0.0,1132.56005859375,347.9867118199666,2,3.0,1022.0,512.5,9.06982421875,3381.519897460937,1695.2948608398438,184.0,185.03519061583577,184.51759530791787,0.15914893617021278
46,Running,3676.35,1215.0,199,130.48397699260477,156,54,545.5296628853289,582.4000244140625,516.0,69.8001708984375,78.400146484375,,3,534.1666666666666,11.533345540364584,0.0064762171446285,0.001761588843453,5,0.0,198.0,86.2,0.0,576.6500244140625,247.639990234375,2,257.0,506.0,381.5,814.780029296875,1415.1299743652344,1114.9550018310547,138.9031007751938,139.9920948616601,139.44759781842694,0.08297872340425531
64,Running,5403.34,1904.0,329,143.75315789473683,167,79,543.9662098774157,592.5999755859375,489.2000122070313,208.1995849609375,205.599609375,,4,552.8249969482422,23.39999389648437,0.0077549998403354,0.0014352233693114,5,0.0,880.0,302.4,0.0,2531.029931664467,885.1200000047684,3,245.0,850.0,451.0,687.5,2320.599975585937,1265.2467041015625,148.35487661574618,154.89300411522635,152.0066938343911,0.13829787234042554
115,Running,8768.28,3316.0,538,138.35129440096327,168,59,549.7046357946608,605.0,489.6000061035156,198.79998779296875,186.4000244140625,,4,558.7499923706055,21.55000305175781,0.0061415175691329,0.0007004244354802,5,0.0,772.0,260.2,0.0,1880.33984375,611.36591796875,3,57.0,1574.0,755.0,177.310546875,4037.309814453125,1982.1034647623696,141.67241379310346,146.89714285714285,143.74943226924222,0.2272340425531915
129,Running,3725.74,1291.0,242,129.14064914992272,154,77,548.5809900675896,580.4000244140625,526.4000244140625,80.0,102.20001220703124,,4,543.3250045776367,4.699996948242188,0.0125173908971859,0.0033597059636973,5,0.0,190.0,99.8,0.0,449.389892578125,270.12599487304686,2,0.0,1167.0,583.5,0.0,3328.8198852539062,1664.4099426269531,130.0,130.56506849315068,130.28253424657532,0.10127659574468086
144,Running,4977.499999999999,2062.0,385,147.29622458857696,176,61,603.8629244188602,756.4000244140625,469.0,307.79986572265625,20.99984741210937,,1,612.8000030517578,286.8000183105469,0.0037395168968806,0.0007512841580875,6,0.0,958.0,279.6666666666667,0.0,2276.230224609375,687.7167193094889,2,184.0,1072.0,628.0,432.989990234375,2551.7999877929688,1492.394989013672,149.98415657036347,161.1135135135135,155.5488350419385,0.1621276595744681
172,Running,6387.289999999999,2584.0,362,149.60604870384918,175,64,705.0349570586751,963.4000244140624,505.2000122070313,468.99993896484375,24.59991455078125,,1,741.2000122070312,444.4000244140625,9.196289672848084e-05,1.439779573629518e-05,5,12.0,991.0,430.2,45.47998046875,2331.820068359375,1050.1819580078125,1,198.0,198.0,198.0,463.489990234375,463.489990234375,463.489990234375,157.20603015075378,157.20603015075378,157.20603015075378,0.1523404255319149
177,Running,4285.78,2840.0,488,135.87100175746923,184,79,1153.429104372906,1631.4000244140625,624.4000244140625,1007.6000366210938,0.79998779296875,,1,1128.0,1006.800048828125,0.0012572549365975,0.0002933549870962,6,0.0,1487.0,410.0,0.0,1803.7899169921875,564.8833243846893,4,35.0,1026.0,465.0,38.66015625,1636.189971923828,650.2025527954102,141.43661971830986,161.62122687439145,149.01413820829708,0.20595744680851064
186,Running,3518.82,1156.0,199,134.34741379310344,161,80,-0.5565517482701047,17.799999237060547,-11.199999809265137,62.99999487400055,63.39999496936798,,2,-2.600000023841858,8.299999952316284,0.0024455581361755,0.0006949938150219,4,1.0,554.0,208.25,2.530029296875,1684.14990234375,627.7474670410156,2,4.0,712.0,358.0,8.2099609375,2210.7501220703125,1109.4800415039062,135.2,140.73071528751754,137.96535764375875,0.08297872340425531
194,Running,3744.71,1238.0,203,138.68412570507655,166,55,545.9560037347023,604.4000244140625,482.6000061035156,131.39993286132812,81.19992065429688,,3,518.9666748046875,26.666676839192707,0.0091141540517986,0.0024338744660597,5,0.0,329.0,111.0,0.0,857.72998046875,322.3259967803955,2,286.0,596.0,441.0,922.469970703125,1712.840087890625,1317.655029296875,141.27470686767168,152.6376306620209,146.9561687648463,0.08468085106382979
202,Running,3576.65,1149.0,210,135.59536541889483,162,65,542.617647711606,596.0,514.2000122070312,103.00006103515624,103.2000732421875,,2,554.4499969482422,29.0999755859375,0.0026188484535901,0.0007322070802539,4,1.0,537.0,162.25,3.550048828125,1498.7098999023438,478.22497391700745,2,0.0,585.0,292.5,0.0,1657.3699951171875,828.6849975585938,136.0,143.07508532423208,139.53754266211604,0.0876595744680851
204,Running,9150.99,4903.0,472,120.85647010647013,177,61,717.2956999232787,954.2000122070312,526.7999877929688,479.1998901367188,473.9998779296875,,3,688.5333557128906,135.4000040690104,0.0035153033902449,0.0003841445996821,6,0.0,2080.0,416.0,0.0,4259.400078058243,834.5617154836655,2,5.0,1990.0,997.5,7.490234375,4038.099960327149,2022.7950973510744,122.66666666666669,155.73329984932195,139.19998325799432,0.19914893617021276
222,Running,12085.25,4661.0,615,139.17241379310346,168,82,573.1304778889329,854.4000244140625,457.2000122070313,308.9999084472656,594.7998962402344,,7,626.8142830984933,16.74285888671875,0.0415363889687813,0.0034369490882506,14,0.0,534.0,130.42857142857142,0.0,1301.009765625,304.46003600529264,3,17.0,2460.0,1177.3333333333333,51.0205078125,5880.330078125,2907.416885375977,141.11111111111111,143.29418935392118,142.38857237723298,0.26
226,Running,2034.8,1052.0,93,119.06565176022836,157,77,428.4848727181795,434.6000061035156,423.2000122070313,53.59976196289063,53.79977416992188,,2,427.9499969482422,0.399993896484375,0.002186338257341,0.0010744732933659,7,0.0,268.0,104.42857142857144,0.0,707.269980430603,254.3057282311576,4,5.0,233.0,151.0,5.550048828125,638.5,414.8225269317627,120.66666666666669,141.3793103448276,129.9207688732473,0.03787234042553191
244,Running,8620.76,3806.0,345,120.41828633999452,149,90,706.118313960366,941.0,413.6000061035156,132.99978637695312,641.9998168945312,,4,760.9749870300293,0.0,0.0100813026662492,0.0011694215668049,12,1.0,341.0,126.75,0.5703125,901.490234375,290.6283260186513,5,58.0,999.0,486.6,168.39013671875,2581.759912014008,1301.9481249809264,126.0,130.00100200400803,128.0398376818842,0.1451063829787234
283,Running,3724.34,1218.0,228,133.73628173628174,155,63,534.173464938327,597.4000244140625,472.6000061035156,138.4000244140625,76.80001831054688,,3,515.1999969482422,30.066660563151043,0.0038870612169095,0.001043691289439,4,0.0,412.0,148.75,0.0,1083.8599853515625,419.3949831724167,3,36.0,899.0,341.6666666666667,127.02978515625,2641.309967041016,1031.3899434407551,135.2967032967033,137.1588888888889,136.12483703483704,0.09531914893617022
300,Running,3653.87,1122.0,211,140.66369313113293,169,52,547.8032119301788,599.7999877929688,519.5999755859375,125.199951171875,126.5999755859375,,3,544.5000203450521,17.666666666666668,0.0008382224979792,0.0002294067654238,3,0.0,763.0,321.0,0.0,2482.2299413979053,1059.3066276013851,2,21.0,653.0,337.0,71.72998046875,2081.240020751953,1076.4850006103516,141.0,150.85582822085888,145.92791411042944,0.08808510638297873
309,Running,3596.21,1207.0,195,129.2353426919901,146,81,-5.999669707136445,15.0,-15.0,86.40000247955322,107.20000267028809,,4,-3.849999964237213,2.599999964237213,0.0066586001516593,0.0018515604349188,3,0.0,817.0,340.3333333333333,0.0,2516.309875488281,1038.1166178385415,2,171.0,633.0,402.0,509.659912109375,1977.4498901367188,1243.5549011230469,132.60725552050474,140.65116279069767,136.6292091556012,0.08127659574468085
319,Running,12495.65,4576.0,593,147.2738687514807,170,91,362.4129350341855,392.2000122070313,343.3999938964844,228.59988403320312,220.9998779296875,,8,360.0249996185303,4.724998474121094,0.0166680913324345,0.0013339115077994,19,0.0,193.0,71.36842105263158,0.0,482.0699768066406,192.69426044664883,5,87.0,2119.0,614.0,200.1199951171875,6472.4794921875,1872.5538330078125,149.16755319148936,160.4757281553398,153.77426164931083,0.25063829787234043
322,Running,7834.5,2729.0,528,154.89608850256815,172,67,554.5755833113726,620.4000244140625,479.3999938964844,195.8001708984375,199.8001708984375,,4,542.0,24.05000305175781,0.0059025551066487,0.0007534054638648,9,0.0,626.0,175.55555555555554,0.0,1849.2301025390625,515.6955433421665,4,2.0,992.0,420.0,6.150390625,2833.300048828125,1307.6351013183594,155.0,161.7085889570552,158.2181215595055,0.2229787234042553
358,Running,4506.33,2379.0,237,115.01303068516184,132,104,632.4500209043485,842.4000244140625,398.2000122070313,26.79998779296875,470.0,,1,620.3999938964844,0.0,0.0011300295589572,0.0002507649370901,8,0.0,164.0,57.75,0.0,304.8299560546875,109.22496976703404,2,135.0,2151.0,1143.0,344.68994140625,4093.469902038574,2219.079921722412,114.88191538819154,119.2720588235294,117.07698710586048,0.09914893617021277
394,Running,2820.91,1165.0,211,145.48970840480274,171,93,476.20909047985566,502.2000122070313,461.7999877929688,73.79995727539062,75.99996948242188,,3,473.1666666666667,4.200002034505208,0.0052783968768327,0.0018711681254746,4,0.0,508.0,253.75,0.0,1386.0,669.1424822807312,2,60.0,728.0,394.0,159.710205078125,2070.939910888672,1115.3250579833984,151.95747599451303,158.13114754098362,155.04431176774833,0.08808510638297873
