id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share,number_of_intervalsPower,min_durationPower,max_durationPower,avg_durationPower,min_distancePower,max_distancePower,avg_distancePower,number_of_intervalsHeart,min_duration_intervalHeart,max_duration_intervalHeart,avg_duration_intervalHeart,min_distance_intervalHeart,max_distance_intervalHeart,avg_distance_intervalHeart,min_heartrate_intervalHeart,max_heartrate_intervalHeart,avg_heartrate_intervalHeart
210,Other,4048.3199999999997,2289.0,148,97.1602787456446,123,83,740.5165504163151,961.4000244140625,524.2000122070312,2.59991455078125,439.7999267578125,,1,742.8000183105469,0.0,0.0020520218773245206,0.0005068823307753639,3,0.0,63.0,31.666666666666668,0.0,109.65000534057617,56.463331858317055,2,2.0,1993.0,997.5,4.619873046875,3493.1799120903015,1748.8998925685883,98.0,98.13590772316951,98.06795386158475
229,Other,12243.42,12511.0,1099,131.8200964472001,173,87,1307.580730115742,1509.5999755859375,863.4000244140625,854.3993530273438,849.599365234375,,5,1358.0399841308595,133.87998046875,0.0059442546042511955,0.00048550605992861434,14,0.0,1316.0,384.07142857142856,0.0,1142.419960975647,369.5900732449123,10,0.0,2696.0,674.0,0.0,5073.75,878.6299793243409,131.73669467787116,148.9710789766407,137.6736907480591
237,Other,12639.02,10515.0,0,127.60060395928868,174,87,1200.1619948615512,1499.199951171875,716.2000122070312,931.6005859375,933.0006103515625,,5,1297.6199584960937,153.039990234375,0.004061533035609088,0.00032134873080421483,14,0.0,2287.0,381.85714285714283,0.0,2472.7900390625,462.9870309020792,5,39.0,5204.0,1122.0,57.22998046875,6076.87021446228,1320.639960861206,133.425,141.51118657610866,137.42328994680068
265,Other,6010.599999999999,4615.0,338,100.03590490053372,138,66,649.7883551984895,850.7999877929688,380.0,512.1997985839844,380.3997802734375,,3,653.4333343505859,134.26667277018228,0.0034211670109678786,0.0005691889347099922,7,0.0,519.0,287.14285714285717,0.0,871.8699722290039,388.36427198137557,2,0.0,1975.0,987.5,0.0,2662.1599731445312,1331.0799865722656,101.0,118.0080971659919,109.50404858299595
273,Other,4611.5,2893.0,311,121.5081101471143,173,64,501.376687733734,549.7999877929688,468.20001220703125,102.59979248046875,161.99981689453125,,3,509.2999979654948,0.0,0.0038760974712368067,0.0008405285636423738,7,0.0,240.0,83.14285714285714,0.0,654.610107421875,168.50577109200614,5,89.0,1011.0,319.6,139.48001098632812,1867.3701171875,626.2460266113281,115.64942528735632,151.2638036809816,131.91115302933284
277,Other,9974.19,13747.0,1344,135.46920270974465,182,76,1763.8789553896,1974.800048828125,1326.800048828125,1309.2001953125,1316.000244140625,,11,1722.6181862571023,76.85453657670455,0.013550915549061415,0.001358598096593449,21,0.0,1765.0,341.04761904761904,0.0,1511.090087890625,282.46147053582325,8,32.0,3658.0,1002.25,10.010009765625,3299.480117201805,777.8600939959288,133.01052631578946,158.21209912536443,146.00837042293466
286,Other,11656.92,11873.0,1495,133.49262632834527,179,65,1216.3883102837262,1691.800048828125,605.5999755859375,1296.39990234375,1303.5999145507812,,4,1307.3000106811523,269.1000061035156,0.0018047586711445731,0.00015482294389466283,11,0.0,2465.0,493.1818181818182,0.0,2955.7298583984375,589.409989790483,7,74.0,3676.0,805.2857142857143,136.490234375,3787.4100341796875,912.5158364432199,139.66460723742279,158.85965978128797,147.11569756332207
305,Other,7833.799999999999,8046.0,1117,127.69338940728085,172,85,1028.171132493777,1273.0,610.4000244140625,1119.8005981445312,1128.0006103515625,,6,1111.3499908447266,140.9666544596354,0.007967421238290725,0.0010170570142575411,13,0.0,1171.0,318.0,0.0,1396.8300536870956,305.16841759131506,10,14.0,1416.0,380.2,22.63037109375,1046.1000518798828,322.95207061767576,128.8,164.06216931216932,142.78180054481638
306,Other,13052.220000000001,8674.0,784,127.01624796900387,165,84,1097.6599174797975,1569.5999755859375,588.7999877929688,1041.99951171875,1042.99951171875,,3,1186.566670735677,318.79998779296875,0.004536076323345749,0.0003475329348835484,7,0.0,2551.0,643.8571428571429,0.0,3428.7799072265625,959.2800272532871,3,11.0,4491.0,1519.0,25.5703125,6457.7897872924805,2199.54679107666,133.0,146.9567639848451,138.98558799494836
337,Other,10751.759999999998,12044.0,1192,130.8911066987146,182,93,1246.3845375657231,1996.0,630.4000244140625,1448.7996215820312,1448.599609375,,4,1453.9250259399414,330.70001220703125,0.0018664781205129154,0.0001735974501395972,6,0.0,3902.0,1345.8333333333333,0.0,3803.3800585865974,941.494943032662,12,16.0,1952.0,472.75,23.060546875,1683.05029296875,484.2366825739543,127.69932432432432,154.078853046595,138.04628278157017
338,Other,15415.93,15249.0,1451,126.08401557904777,167,75,1260.8404547467442,1868.199951171875,551.2000122070312,1690.4006958007812,1684.8007202148438,,5,1428.2400146484374,266.20001220703125,0.005426661718185836,0.0003520164996977695,11,0.0,3776.0,695.7272727272727,0.0,3323.5599365234375,694.6709257472645,12,52.0,3016.0,623.1666666666666,81.2197265625,2499.7598876953125,682.3758341471354,124.33188248095756,149.7539585870889,135.38827443935352
345,Other,15990.75,10689.0,1061,130.37642772745176,167,93,1039.1112639527473,1532.4000244140625,524.5999755859375,1085.8001708984375,1071.0001831054688,,3,1089.5999857584636,334.93332926432294,0.005544927797034081,0.0003467584570476107,15,0.0,2813.0,418.93333333333334,0.0,3491.97021484375,614.3939470926921,5,48.0,3758.0,1190.8,119.4599609375,4914.68017578125,1860.6539672851563,135.9591836734694,149.16688847484696,143.49963699948654
354,Other,11085.92,8923.0,887,111.0491565629942,154,68,926.6724615017919,1332.800048828125,536.2000122070312,793.2000732421875,798.2000732421875,,2,922.3500061035156,380.3999938964844,0.0029356860083633142,0.0002648121227975048,5,4.0,2832.0,679.2,35.1796875,3345.4700927734375,835.003955078125,8,39.0,2845.0,444.5,91.5,3337.8699340820312,569.2812728881836,115.175,135.09151707145372,122.04414871572251
366,Other,12935.71,8354.0,919,133.88959921317925,178,83,564.50779464868,931.7999877929688,283.79998779296875,749.9999694824219,753.7999877929688,,5,483.37998962402344,121.43999633789062,0.008552193168004537,0.000661130557812794,10,3.0,1497.0,416.5,4.2998046875,1920.7900390625,557.3950392961502,4,12.0,2046.0,799.0,96.1201171875,2541.14990234375,1049.3550248146057,129.95744680851064,164.52300613496934,146.6282717440285
384,Other,13762.58,11303.0,942,106.17034584253128,150,73,1003.0449737995099,1524.5999755859375,438.79998779296875,1191.1991577148438,1184.7991333007812,,5,999.7199829101562,215.07999267578126,0.009366344441208655,0.0006805660305850106,15,0.0,1536.0,393.93333333333334,0.0,2139.1900577545166,475.1893795013428,6,24.0,1977.0,926.3333333333334,29.3203125,2542.9099731445312,1119.5866610209148,110.2,128.5647536820721,121.0365573349323
413,Other,18487.64,16743.0,1303,129.31213539791142,175,80,1360.3893699220157,1873.0,587.4000244140625,1776.2003784179688,1779.6004028320312,,12,1632.0749918619792,109.64999898274739,0.012232844428200907,0.0006616769056624267,29,0.0,1936.0,384.0344827586207,0.0,1765.3599951267242,382.7211538594345,19,29.0,1677.0,503.3157894736842,7.58984375,2804.6103515625,737.3647629587274,124.86764705882354,146.8443579766537,136.1973576482347
419,Other,11080.33,10849.0,1269,134.19794489611562,182,82,1178.5035229056616,1887.4000244140625,592.2000122070312,1392.0001220703125,1415.0001220703125,,5,1355.1,250.99998779296874,0.010619276296203987,0.0009583898941822118,12,0.0,5250.0,486.9166666666667,0.0,5513.900238037109,537.4017613728842,6,37.0,3256.0,912.8333333333334,41.2001953125,3306.800048828125,1089.1918284098308,140.21052631578948,155.69325153374234,146.81198592028247
420,Other,10793.85,9728.0,749,126.08273684210526,165,87,971.7543592465049,1233.199951171875,571.0,680.9998168945312,713.9998168945312,,3,895.2999877929688,206.19999186197916,0.001324999236998951,0.00012275501669922696,16,1.0,812.0,243.5,1.52001953125,961.0600147247314,208.68874847888947,7,42.0,3228.0,909.8571428571429,29.25,2456.590087890625,940.8556431361607,122.09638554216868,138.1457627118644,131.55857135858733
