id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share
2,Other,7465.04,6141.0,784,139.04455782312925,177,99,1082.9579593788199,1503.0,563.0,835.3999633789062,951.7999267578125,,2,1049.0999908447266,397.3999938964844,0.005650766195861217,0.0007569639540928404
9,Other,5944.48,5461.0,738,117.1128685803554,165,77,966.9374848067505,1310.4000244140625,652.4000244140625,656.0000610351562,676.4000854492188,,2,971.6000061035156,300.70001220703125,0.0017094798013705384,0.0002875743212813465
12,Other,11169.86,10471.0,773,109.45401425733317,150,69,1160.369382045038,1530.5999755859375,698.7999877929688,865.7996215820312,868.7996215820312,,2,1108.8500061035156,407.8000183105469,0.0029024225310271268,0.0002598441279503169
23,Other,12220.619999999999,15895.0,992,94.62721509868895,146,59,1300.8860674947907,1891.800048828125,630.2000122070312,1644.2000732421875,1600.8001098632812,,7,1412.1285792759486,176.40001569475447,0.011425239518641578,0.0009349148830944404
24,Other,6623.82,5116.0,440,105.45514511873351,145,80,662.2019787186997,836.5999755859375,479.3999938964844,375.0000915527344,331.80010986328125,,2,660.5999984741211,170.40000915527344,0.002851874324291142,0.0004305482824550097
46,Other,11648.69,8709.0,656,105.38400488400488,149,70,921.739498152401,1306.800048828125,519.0,800.2000122070312,800.6000366210938,,2,904.0000305175781,384.70001220703125,0.0044158931501454305,0.00037908924953324627
59,Other,2855.97,1722.0,64,74.77981651376147,129,49,662.2382902909219,746.7999877929688,532.4000244140625,7.79998779296875,217.39996337890625,,1,638.2000122070312,0.0,0.0012033961808544944,0.00042136163224911133
70,Other,11311.31,8865.0,877,107.1513958067879,149,76,934.4533536149441,1293.0,528.7999877929688,847.7999267578125,850.199951171875,,4,926.1000213623047,187.0500030517578,0.0040255885991071615,0.0003558905731614784
93,Other,14227.170000000002,17806.0,1304,107.37520281233098,144,71,1009.2153736091808,1515.0,429.79998779296875,1309.198974609375,1344.3989562988281,,9,950.3555552164713,117.68890041775174,0.01981153802665026,0.0013925143248200629
110,Other,15222.23,4591.0,0,147.52258211678833,175,92,1072.9084398589864,1458.0,589.2000122070312,1223.2003173828125,361.20025634765625,,11,1148.5636402476919,78.89090798117898,0.04865015938490598,0.0031959942390113656
113,Other,13003.09,12532.0,1456,148.8709489051095,179,107,1211.6542719632973,1541.800048828125,648.7999877929688,1142.2006225585938,1159.0006103515625,,8,1344.3999977111816,112.05001831054688,0.0047283217560535,0.0003636306259553306
153,Other,2190.43,3131.0,293,134.28334648776638,180,87,799.1129450989973,828.5999755859375,750.4000244140625,336.19989013671875,325.19989013671875,,5,781.4599975585937,15.15999755859375,0.0036259834084884767,0.0016553751585252565
213,Other,3393.86,2754.0,198,,,,9.579460266290576,31.0,2.4000000953674316,78.79999423027039,82.79999423027039,,4,27.050000190734863,1.0999999046325684,0.006690178066859776,0.0019712592938010923
215,Other,4560.89,2722.0,573,143.85722315907813,175,81,1201.9792017987634,1301.5999755859375,1067.199951171875,433.7999267578125,435.0,,4,1124.249984741211,34.600006103515625,0.0047798103152424404,0.0010479994727437933
228,Other,4048.3199999999997,2289.0,148,97.1602787456446,123,83,740.5165504163151,961.4000244140625,524.2000122070312,2.59991455078125,439.7999267578125,,1,742.8000183105469,0.0,0.0020520218773245206,0.0005068823307753639
249,Other,12243.42,12511.0,1099,131.8200964472001,173,87,1307.580730115742,1509.5999755859375,863.4000244140625,854.3993530273438,849.599365234375,,5,1358.0399841308595,133.87998046875,0.0059442546042511955,0.00048550605992861434
258,Other,12639.02,10515.0,0,127.60060395928868,174,87,1200.1619948615512,1499.199951171875,716.2000122070312,931.6005859375,933.0006103515625,,5,1297.6199584960937,153.039990234375,0.004061533035609088,0.00032134873080421483
278,Other,65079.51,32681559.0,0,,,,117.92618220992979,435.20001220703125,-6.0,2435.1999863535166,2452.799986258149,,33,134.46060583808205,26.278787179426715,0.4304119697453856,0.0066136326125594
287,Other,6010.599999999999,4615.0,338,100.03590490053372,138,66,649.7883551984895,850.7999877929688,380.0,512.1997985839844,380.3997802734375,,3,653.4333343505859,134.26667277018228,0.0034211670109678786,0.0005691889347099922
295,Other,4611.5,2893.0,311,121.5081101471143,173,64,501.376687733734,549.7999877929688,468.20001220703125,102.59979248046875,161.99981689453125,,3,509.2999979654948,0.0,0.0038760974712368067,0.0008405285636423738
300,Other,9974.19,13747.0,1344,135.46920270974465,182,76,1763.8789553896,1974.800048828125,1326.800048828125,1309.2001953125,1316.000244140625,,11,1722.6181862571023,76.85453657670455,0.013550915549061415,0.001358598096593449
309,Other,11656.92,11873.0,1495,133.49262632834527,179,65,1216.3883102837262,1691.800048828125,605.5999755859375,1296.39990234375,1303.5999145507812,,4,1307.3000106811523,269.1000061035156,0.0018047586711445731,0.00015482294389466283
331,Other,7833.799999999999,8046.0,1117,127.69338940728085,172,85,1028.171132493777,1273.0,610.4000244140625,1119.8005981445312,1128.0006103515625,,6,1111.3499908447266,140.9666544596354,0.007967421238290725,0.0010170570142575411
333,Other,13052.220000000001,8674.0,784,127.01624796900387,165,84,1097.6599174797975,1569.5999755859375,588.7999877929688,1041.99951171875,1042.99951171875,,3,1186.566670735677,318.79998779296875,0.004536076323345749,0.0003475329348835484
366,Other,10751.759999999998,12044.0,1192,130.8911066987146,182,93,1246.3845375657231,1996.0,630.4000244140625,1448.7996215820312,1448.599609375,,4,1453.9250259399414,330.70001220703125,0.0018664781205129154,0.0001735974501395972
367,Other,15415.93,15249.0,1451,126.08401557904777,167,75,1260.8404547467442,1868.199951171875,551.2000122070312,1690.4006958007812,1684.8007202148438,,5,1428.2400146484374,266.20001220703125,0.005426661718185836,0.0003520164996977695
376,Other,15990.75,10689.0,1061,130.37642772745176,167,93,1039.1112639527473,1532.4000244140625,524.5999755859375,1085.8001708984375,1071.0001831054688,,3,1089.5999857584636,334.93332926432294,0.005544927797034081,0.0003467584570476107
387,Other,11085.92,8923.0,887,111.0491565629942,154,68,926.6724615017919,1332.800048828125,536.2000122070312,793.2000732421875,798.2000732421875,,2,922.3500061035156,380.3999938964844,0.0029356860083633142,0.0002648121227975048
401,Other,12935.71,8354.0,919,133.88959921317925,178,83,564.50779464868,931.7999877929688,283.79998779296875,749.9999694824219,753.7999877929688,,5,483.37998962402344,121.43999633789062,0.008552193168004537,0.000661130557812794
424,Other,13762.58,11303.0,942,106.17034584253128,150,73,1003.0449737995099,1524.5999755859375,438.79998779296875,1191.1991577148438,1184.7991333007812,,5,999.7199829101562,215.07999267578126,0.009366344441208655,0.0006805660305850106
